Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
691188.0,,183.0,406.48,0.0,589.48,589.48
93385.0,,218.7,236.71,0.0,455.41,455.41
542457.0,,218.7,228.63,0.0,447.33,447.33
542457.0,,777.6,1056.04,0.0,1833.64,1833.64
70287.0,,185.13,2114.51,0.0,2299.64,2299.64
70287.0,,152.46,408.35,0.0,560.81,560.81
70287.0,,196.02,688.33,0.0,884.35,884.35
93351.0,,150.57,1002.27,0.0,1152.84,1152.84
92767.0,,109.8,178.41,0.0,288.21,288.21
92197.0,,1183.04,631.58,0.0,1814.62,1814.62
93351.0,,150.57,939.83,0.0,1090.4,1090.4
631891.0,,130.2,203.24,0.0,333.44,333.44
70287.0,,0.0,490.59,0.0,490.59,490.59
691188.0,,48.8,110.32,0.0,159.12,159.12
691188.0,,256.2,686.87,0.0,943.07,943.07
93385.0,,243.0,295.8,0.0,538.8,538.8
93351.0,,354.92,1257.4,0.0,1612.32,1612.32
93351.0,,258.12,217.36,330.0,805.48,805.48
93351.0,,53.78,26.56,0.0,80.34,80.34
542457.0,,291.6,156.92,584.7,1033.22,1033.22
93351.0,,258.12,170.29,330.0,758.41,758.41
93351.0,,215.1,232.48,0.0,447.58,447.58
542457.0,,291.6,156.92,584.7,1033.22,1033.22
631891.0,,120.9,203.24,0.0,324.14,324.14
93351.0,,0.0,306.4,497.36,803.76,803.76
93351.0,,161.32,295.8,0.0,457.12,457.12
93351.0,,258.12,232.32,330.0,820.44,820.44
93351.0,,75.28,221.26,0.0,296.54,296.54
93351.0,,215.1,187.97,0.0,403.07,403.07
93351.0,,0.0,163.91,440.0,603.91,603.91
880625.0,,182.25,201.44,0.0,383.69,383.69
880625.0,,157.95,249.2,0.0,407.15,407.15
396485.0,,69.12,192.4,0.0,261.52,261.52
93351.0,,204.34,1574.79,0.0,1779.13,1779.13
93351.0,,161.32,656.29,0.0,817.61,817.61
93351.0,,215.1,294.93,0.0,510.03,510.03
93351.0,,354.92,418.44,0.0,773.36,773.36
93351.0,,161.32,300.23,0.0,461.55,461.55
93351.0,,96.8,2102.82,0.0,2199.62,2199.62
93351.0,,215.1,656.29,0.0,871.39,871.39
93351.0,,75.28,221.26,0.0,296.54,296.54
93351.0,,215.1,688.95,0.0,904.05,904.05
93351.0,,26.89,86.64,0.0,113.53,113.53
488428.0,,166.4,240.24,0.0,406.64,406.64
93351.0,,258.12,141.67,344.55,744.34,744.34
93351.0,,290.38,656.29,0.0,946.67,946.67
93385.0,,60.75,90.8,0.0,151.55,151.55
93385.0,,267.3,817.3,0.0,1084.6,1084.6
93385.0,,97.2,190.44,0.0,287.64,287.64
788051.0,,99.0,261.95,0.0,360.95,360.95
93351.0,,225.86,686.87,0.0,912.73,912.73
880625.0,,206.55,2115.39,0.0,2321.94,2321.94
880625.0,,97.2,210.32,420.0,727.52,727.52
880625.0,,352.35,1540.5,0.0,1892.85,1892.85
880625.0,,0.0,2143.12,0.0,2143.12,2143.12
92767.0,,109.8,523.24,0.0,633.04,633.04
92767.0,,183.0,184.72,0.0,367.72,367.72
880625.0,,121.5,190.44,0.0,311.94,311.94
880625.0,,571.05,183.76,0.0,754.81,754.81
880625.0,,194.4,74.4,0.0,268.8,268.8
92767.0,,402.6,1779.5,0.0,2182.1,2182.1
92767.0,,122.0,0.0,31.36,153.36,153.36
92767.0,,85.4,251.91,0.0,337.31,337.31
766085.0,,172.89,1860.35,0.0,2033.24,2033.24
766085.0,,254.25,1476.57,0.0,1730.82,1730.82
766085.0,,162.72,184.72,0.0,347.44,347.44
766085.0,,274.59,176.16,0.0,450.75,450.75
600828.0,,122.63,686.87,0.0,809.5,809.5
552993.0,,292.5,169.19,0.0,461.69,461.69
552993.0,,495.0,183.76,0.0,678.76,678.76
691188.0,,622.2,402.96,0.0,1025.16,1025.16
691188.0,,73.2,178.41,0.0,251.61,251.61
85993.0,,196.65,356.82,0.0,553.47,553.47
70287.0,,163.35,384.12,0.0,547.47,547.47
92767.0,,280.6,4109.56,0.0,4390.16,4390.16
92767.0,,219.6,178.41,0.0,398.01,398.01
93351.0,,258.12,228.63,0.0,486.75,486.75
880625.0,,121.5,203.24,0.0,324.74,324.74
92767.0,,158.6,204.28,0.0,362.88,362.88
92197.0,,215.11,178.41,0.0,393.52,393.52
92197.0,,21.51,178.41,0.0,199.92,199.92
630208.0,,213.9,1306.2,0.0,1520.1,1520.1
480274.0,,140.4,203.24,0.0,343.64,343.64
92197.0,,204.35,691.81,0.0,896.16,896.16
880625.0,,1081.35,17040.35,0.0,18121.7,18121.7
92197.0,,64.53,157.83,0.0,222.36,222.36
92197.0,,129.06,178.41,0.0,307.47,307.47
880625.0,,97.2,95.54,0.0,192.74,192.74
511728.0,,0.0,178.41,125.4,303.81,303.81
92197.0,,0.0,340.4,0.0,340.4,340.4
92197.0,,10.76,37.32,0.0,48.08,48.08
92197.0,,215.1,681.17,0.0,896.27,896.27
92197.0,,494.72,830.75,0.0,1325.47,1325.47
92197.0,,333.41,1478.79,0.0,1812.2,1812.2
92197.0,,311.9,1303.97,0.0,1615.87,1615.87
70287.0,,196.02,686.87,0.0,882.89,882.89
70287.0,,980.1,485.99,0.0,1466.09,1466.09
70287.0,,348.48,1447.01,0.0,1795.49,1795.49
93351.0,,53.78,178.41,0.0,232.19,232.19
93351.0,,0.0,153.41,758.12,911.53,911.53
93351.0,,322.65,338.4,0.0,661.05,661.05
93351.0,,43.02,178.41,0.0,221.43,221.43
93351.0,,64.53,192.4,0.0,256.93,256.93
93351.0,,0.0,528.36,0.0,528.36,528.36
93351.0,,225.86,1474.06,0.0,1699.92,1699.92
93351.0,,182.84,686.87,0.0,869.71,869.71
93351.0,,86.04,406.6,0.0,492.64,492.64
788051.0,,158.4,178.41,0.0,336.81,336.81
93351.0,,107.55,475.23,0.0,582.78,582.78
93351.0,,150.57,262.44,0.0,413.01,413.01
630207.0,,1376.4,6497.29,215.0,8088.69,8088.69
630207.0,,102.3,447.3,0.0,549.6,549.6
92767.0,,317.2,188.6,360.0,865.8,865.8
92767.0,,195.2,1553.64,0.0,1748.84,1748.84
92767.0,,61.0,203.24,60.0,324.24,324.24
92767.0,,-61.0,0.0,0.0,-61.0,-61.0
92767.0,,158.6,356.82,0.0,515.42,515.42
92767.0,,305.0,1478.79,0.0,1783.79,1783.79
92767.0,,122.0,178.41,0.0,300.41,300.41
92767.0,,231.8,1291.0,0.0,1522.8,1522.8
92767.0,,366.0,200.42,360.0,926.42,926.42
92767.0,,0.0,1553.64,160.0,1713.64,1713.64
92767.0,,207.4,160.85,0.0,368.25,368.25
92767.0,,353.8,1283.85,0.0,1637.65,1637.65
92767.0,,390.4,195.57,360.0,945.97,945.97
92767.0,,0.0,447.3,140.0,587.3,587.3
92767.0,,183.0,1390.04,0.0,1573.04,1573.04
92767.0,,329.4,114.04,0.0,443.44,443.44
691188.0,,158.6,90.8,0.0,249.4,249.4
691188.0,,122.0,93.92,0.0,215.92,215.92
630207.0,,1376.4,6523.2,215.0,8114.6,8114.6
691188.0,,48.8,118.7,0.0,167.5,167.5
691188.0,,158.6,473.97,0.0,632.57,632.57
691188.0,,524.6,140.31,0.0,664.91,664.91
691188.0,,61.0,93.92,0.0,154.92,154.92
691188.0,,170.8,447.3,0.0,618.1,618.1
